campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,budget_cat,revenue_cat,roi_cat
Public-key multi-tasking throughput,2023-04-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,80823.0,7.779598381648788,email,B2B,organic,0.4,709593.48,328.0,Medio,Muy Alto,Alto
De-engineered analyzing task-force,2023-02-15 00:00:00+00:00,2024-04-22 00:00:00+00:00,1771298.0,-0.7083443328000144,email,B2C,promotion,0.66,516609.1,432.0,Muy Alto,Muy Alto,Pérdida
Balanced solution-oriented Local Area Network,2022-12-20 00:00:00+00:00,2023-10-11 00:00:00+00:00,846431.0,-0.45863582501113503,podcast,B2B,paid,0.28,458227.42,295.0,Muy Alto,Muy Alto,Pérdida
Distributed real-time methodology,2022-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,1458975.0,-0.9383411436110969,webinar,B2B,organic,0.19,89958.73,366.0,Muy Alto,Medio,Pérdida
Front-line executive infrastructure,2023-07-07 00:00:00+00:00,2024-05-15 00:00:00+00:00,392919.0,-0.8790810574189591,social media,B2B,promotion,0.81,47511.35,313.0,Muy Alto,Bajo,Pérdida
Upgradable transitional data-warehouse,2023-06-29 00:00:00+00:00,2023-12-13 00:00:00+00:00,7556928.0,-0.9261204936715024,social media,B2C,referral,0.67,558302.11,167.0,Muy Alto,Muy Alto,Pérdida
Innovative context-sensitive framework,2023-03-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,2896445.0,-0.9403121447153321,email,B2C,referral,0.17,172882.59,359.0,Muy Alto,Alto,Pérdida
User-friendly client-driven service-desk,2023-01-06 00:00:00+00:00,2023-12-11 00:00:00+00:00,3680058.0,-0.9439570082862825,webinar,B2C,promotion,0.52,206241.46,339.0,Muy Alto,Muy Alto,Pérdida
Proactive neutral methodology,2022-09-06 00:00:00+00:00,2024-01-11 00:00:00+00:00,4049388.0,-0.8185514057926778,webinar,B2C,organic,0.47,734755.76,492.0,Muy Alto,Muy Alto,Pérdida
Intuitive responsive support,2022-11-25 00:00:00+00:00,2024-04-04 00:00:00+00:00,181622.0,2.1013880477034723,social media,B2C,referral,0.85,563280.3,496.0,Alto,Muy Alto,Medio
Multi-lateral dedicated workforce,2023-06-15 00:00:00+00:00,2024-06-15 00:00:00+00:00,9408421.0,-0.9567916050950527,podcast,B2B,referral,0.23,406522.77,366.0,Muy Alto,Muy Alto,Pérdida
Cross-platform demand-driven encoding,2023-07-21 00:00:00+00:00,2023-11-04 00:00:00+00:00,6404137.0,-0.9727578485594547,social media,B2B,promotion,0.55,174462.47,106.0,Muy Alto,Alto,Pérdida
Networked even-keeled toolset,2023-03-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,4937581.0,-0.862196306247938,social media,B2B,organic,0.95,680416.9,173.0,Muy Alto,Muy Alto,Pérdida
Optional actuating standardization,2023-07-04 00:00:00+00:00,2024-05-06 00:00:00+00:00,1481062.0,-0.6775771237125792,webinar,B2B,referral,0.45,477528.27,307.0,Muy Alto,Muy Alto,Pérdida
Innovative web-enabled function,2022-11-05 00:00:00+00:00,2023-09-05 00:00:00+00:00,368483.0,-0.988626476662424,webinar,B2C,referral,0.1,4190.95,304.0,Muy Alto,Muy Bajo,Pérdida
Configurable methodical service-desk,2023-03-23 00:00:00+00:00,2023-11-07 00:00:00+00:00,2151043.0,-0.9892252967513898,email,B2B,referral,0.92,23176.85,229.0,Muy Alto,Bajo,Pérdida
Cross-group empowering attitude,2022-09-14 00:00:00+00:00,2024-01-25 00:00:00+00:00,9952093.0,-0.9612007293340206,podcast,B2C,paid,0.65,386133.95,498.0,Muy Alto,Muy Alto,Pérdida
Intuitive didactic installation,2023-06-24 00:00:00+00:00,2024-03-27 00:00:00+00:00,1921346.0,-0.5184237872824572,email,B2B,organic,0.96,925274.53,277.0,Muy Alto,Muy Alto,Pérdida
Fundamental dedicated encryption,2023-07-16 00:00:00+00:00,2023-08-17 00:00:00+00:00,1757323.0,-0.7379196994519505,email,B2B,promotion,0.79,460559.74,32.0,Muy Alto,Muy Alto,Pérdida
De-engineered 4thgeneration moratorium,2022-09-26 00:00:00+00:00,2024-05-30 00:00:00+00:00,253964.0,0.15325617016585022,email,B2C,promotion,0.1,292885.55,612.0,Muy Alto,Muy Alto,Bajo
Managed upward-trending website,2023-02-07 00:00:00+00:00,2024-02-07 00:00:00+00:00,3464422.0,-0.8617430757569372,podcast,B2B,referral,0.72,478980.33,365.0,Muy Alto,Muy Alto,Pérdida
Self-enabling human-resource infrastructure,2023-04-20 00:00:00+00:00,2024-01-09 00:00:00+00:00,6027459.0,-0.83839973693724,webinar,B2B,organic,0.91,974038.96,264.0,Muy Alto,Muy Alto,Pérdida
Cross-platform 24/7 archive,2023-01-16 00:00:00+00:00,2024-07-15 00:00:00+00:00,7968062.0,-0.945341243579681,email,B2B,promotion,0.96,435524.36,546.0,Muy Alto,Muy Alto,Pérdida
Future-proofed local forecast,2023-08-01 00:00:00+00:00,2023-08-11 00:00:00+00:00,4677563.0,-0.8258340336624006,webinar,B2B,referral,0.75,814672.28,10.0,Muy Alto,Muy Alto,Pérdida
Horizontal hybrid instruction set,2022-08-26 00:00:00+00:00,2024-07-24 00:00:00+00:00,483665.0,-0.9152203487951371,social media,B2B,promotion,0.87,41004.95,698.0,Muy Alto,Bajo,Pérdida
Inverse contextually-based neural-net,2023-06-26 00:00:00+00:00,2024-01-28 00:00:00+00:00,849734.0,-0.5401659342806101,podcast,B2C,organic,0.16,390736.64,216.0,Muy Alto,Muy Alto,Pérdida
Polarized hybrid system engine,2023-02-15 00:00:00+00:00,2023-11-17 00:00:00+00:00,373447.0,0.24125104767209266,email,B2C,organic,0.43,463541.48,275.0,Muy Alto,Muy Alto,Bajo
Managed analyzing service-desk,2023-07-05 00:00:00+00:00,2023-10-09 00:00:00+00:00,1439198.0,-0.6827834669030947,email,B2C,promotion,0.83,456537.4,96.0,Muy Alto,Muy Alto,Pérdida
Seamless clear-thinking product,2022-11-18 00:00:00+00:00,2023-10-05 00:00:00+00:00,9983863.0,-0.9985903662740565,email,B2B,organic,0.18,14073.59,321.0,Muy Alto,Bajo,Pérdida
Networked local adapter,2022-10-17 00:00:00+00:00,2024-07-03 00:00:00+00:00,2907612.0,-0.673852787098141,social media,B2B,referral,0.1,948309.55,625.0,Muy Alto,Muy Alto,Pérdida
Open-architected neutral open system,2023-04-19 00:00:00+00:00,2023-09-20 00:00:00+00:00,8796328.0,-0.8870089007594988,podcast,B2B,promotion,0.57,993906.77,154.0,Muy Alto,Muy Alto,Pérdida
Secured optimal website,2023-05-25 00:00:00+00:00,2023-12-12 00:00:00+00:00,539358.0,0.7773985367789112,social media,B2C,paid,0.4,958654.12,201.0,Muy Alto,Muy Alto,Bajo
Seamless zero-defect portal,2022-08-12 00:00:00+00:00,2024-07-19 00:00:00+00:00,712771.0,0.30872974630000377,email,B2B,paid,0.56,932824.61,707.0,Muy Alto,Muy Alto,Bajo
Configurable eco-centric capability,2022-10-02 00:00:00+00:00,2024-03-09 00:00:00+00:00,159682.0,1.692897759296602,social media,B2C,paid,0.15,430007.3,524.0,Alto,Muy Alto,Medio
Customizable directional paradigm,2023-01-20 00:00:00+00:00,2023-08-16 00:00:00+00:00,5446841.0,-0.8303320603630618,social media,B2C,paid,0.7,924154.29,208.0,Muy Alto,Muy Alto,Pérdida
Cross-platform holistic encryption,2023-07-27 00:00:00+00:00,2024-02-15 00:00:00+00:00,2939378.0,-0.9753948488421701,podcast,B2B,promotion,0.8,72323.84,203.0,Muy Alto,Medio,Pérdida
