campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,beneficio_neto,budget_cat,revenue_cat,roi_cat
Public-key multi-tasking throughput,2023-04-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,8082.3,8679.6,email,B2B,organic,0.4,709593.48,328.0,701511.1799999999,Bajo,Alto,
De-engineered analyzing task-force,2023-02-15 00:00:00+00:00,2024-04-22 00:00:00+00:00,17712.98,2816.56,email,B2C,promotion,0.66,516609.1,432.0,498896.12,Medio,Alto,Alto
Balanced solution-oriented Local Area Network,2022-12-20 00:00:00+00:00,2023-10-11 00:00:00+00:00,84643.1,441.36,podcast,B2B,paid,0.28,458227.42,295.0,373584.31999999995,Medio,Alto,Medio
Distributed real-time methodology,2022-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,14589.75,516.59,webinar,B2B,organic,0.19,89958.73,366.0,75368.98,Medio,Medio,Medio
Front-line executive infrastructure,2023-07-07 00:00:00+00:00,2024-05-15 00:00:00+00:00,39291.9,20.92,social media,B2B,promotion,0.81,47511.35,313.0,8219.449999999997,Medio,Medio,Medio
Upgradable transitional data-warehouse,2023-06-29 00:00:00+00:00,2023-12-13 00:00:00+00:00,75569.28,638.8,social media,B2C,Referral,0.67,558302.11,167.0,482732.82999999996,Medio,Alto,Medio
Innovative context-sensitive framework,2023-03-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,28964.45,496.88,email,B2C,Referral,0.17,172882.59,359.0,143918.13999999998,Medio,Alto,Medio
User-friendly client-driven service-desk,2023-01-06 00:00:00+00:00,2023-12-11 00:00:00+00:00,36800.58,460.43,webinar,B2C,promotion,0.52,206241.46,339.0,169440.88,Medio,Alto,Medio
Proactive neutral methodology,2022-09-06 00:00:00+00:00,2024-01-11 00:00:00+00:00,40493.88,1714.49,webinar,B2C,organic,0.47,734755.76,492.0,694261.88,Medio,Alto,Alto
Intuitive responsive support,2022-11-25 00:00:00+00:00,2024-04-04 00:00:00+00:00,1816.22,30913.88,social media,B2C,Referral,0.85,563280.3,496.0,561464.0800000001,Bajo,Alto,
Multi-lateral dedicated workforce,2023-06-15 00:00:00+00:00,2024-06-15 00:00:00+00:00,94084.21,332.08,podcast,B2B,Referral,0.23,406522.77,366.0,312438.56,Medio,Alto,Medio
Cross-platform demand-driven encoding,2023-07-21 00:00:00+00:00,2023-11-04 00:00:00+00:00,64041.37,172.42,social media,B2B,promotion,0.55,174462.47,106.0,110421.1,Medio,Alto,Medio
Networked even-keeled toolset,2023-03-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,49375.81,1278.04,social media,B2B,organic,0.95,680416.9,173.0,631041.0900000001,Medio,Alto,Alto
Optional actuating standardization,2023-07-04 00:00:00+00:00,2024-05-06 00:00:00+00:00,14810.62,3124.23,webinar,B2B,Referral,0.45,477528.27,307.0,462717.65,Medio,Alto,
Innovative web-enabled function,2022-11-05 00:00:00+00:00,2023-09-05 00:00:00+00:00,36848.3,-88.63,webinar,B2C,Referral,0.1,4190.95,304.0,-32657.350000000002,Medio,Bajo,
Configurable methodical service-desk,2023-03-23 00:00:00+00:00,2023-11-07 00:00:00+00:00,21510.43,7.75,email,B2B,Referral,0.92,23176.85,229.0,1666.4199999999983,Medio,Medio,Bajo
Cross-group empowering attitude,2022-09-14 00:00:00+00:00,2024-01-25 00:00:00+00:00,99520.93,287.99,podcast,B2C,paid,0.65,386133.95,498.0,286613.02,Medio,Alto,Medio
Intuitive didactic installation,2023-06-24 00:00:00+00:00,2024-03-27 00:00:00+00:00,19213.46,4715.76,email,B2B,organic,0.96,925274.53,277.0,906061.0700000001,Medio,Alto,
Fundamental dedicated encryption,2023-07-16 00:00:00+00:00,2023-08-17 00:00:00+00:00,17573.23,2520.8,email,B2B,promotion,0.79,460559.74,32.0,442986.51,Medio,Alto,Alto
De-engineered 4thgeneration moratorium,2022-09-26 00:00:00+00:00,2024-05-30 00:00:00+00:00,25396.4,1053.26,email,B2C,promotion,0.1,292885.55,612.0,267489.14999999997,Medio,Alto,Alto
Managed upward-trending website,2023-02-07 00:00:00+00:00,2024-02-07 00:00:00+00:00,34644.22,1282.57,podcast,B2B,Referral,0.72,478980.33,365.0,444336.11,Medio,Alto,Alto
Self-enabling human-resource infrastructure,2023-04-20 00:00:00+00:00,2024-01-09 00:00:00+00:00,60274.59,1516.0,webinar,B2B,organic,0.91,974038.96,264.0,913764.37,Medio,Alto,Alto
Cross-platform 24/7 archive,2023-01-16 00:00:00+00:00,2024-07-15 00:00:00+00:00,79680.62,446.59,email,B2B,promotion,0.96,435524.36,546.0,355843.74,Medio,Alto,Medio
Future-proofed local forecast,2023-08-01 00:00:00+00:00,2023-08-11 00:00:00+00:00,46775.63,1641.66,webinar,B2B,Referral,0.75,814672.28,10.0,767896.65,Medio,Alto,Alto
Horizontal hybrid instruction set,2022-08-26 00:00:00+00:00,2024-07-24 00:00:00+00:00,48366.5,-15.22,social media,B2B,promotion,0.87,41004.95,698.0,-7361.550000000003,Medio,Medio,Pérdida
Inverse contextually-based neural-net,2023-06-26 00:00:00+00:00,2024-01-28 00:00:00+00:00,84973.4,359.83,podcast,B2C,organic,0.16,390736.64,216.0,305763.24,Medio,Alto,Medio
Polarized hybrid system engine,2023-02-15 00:00:00+00:00,2023-11-17 00:00:00+00:00,37344.7,1141.25,email,B2C,organic,0.43,463541.48,275.0,426196.77999999997,Medio,Alto,Alto
Managed analyzing service-desk,2023-07-05 00:00:00+00:00,2023-10-09 00:00:00+00:00,14391.98,3072.17,email,B2C,promotion,0.83,456537.4,96.0,442145.42000000004,Medio,Alto,
Seamless clear-thinking product,2022-11-18 00:00:00+00:00,2023-10-05 00:00:00+00:00,99838.63,-85.9,email,B2B,organic,0.18,14073.59,321.0,-85765.04000000001,Medio,Medio,
Networked local adapter,2022-10-17 00:00:00+00:00,2024-07-03 00:00:00+00:00,29076.12,3161.47,social media,B2B,Referral,0.1,948309.55,625.0,919233.43,Medio,Alto,
Open-architected neutral open system,2023-04-19 00:00:00+00:00,2023-09-20 00:00:00+00:00,87963.28,1029.91,podcast,B2B,promotion,0.57,993906.77,154.0,905943.49,Medio,Alto,Alto
Secured optimal website,2023-05-25 00:00:00+00:00,2023-12-12 00:00:00+00:00,53935.8,1677.4,social media,B2C,paid,0.4,958654.12,201.0,904718.32,Medio,Alto,Alto
Seamless zero-defect portal,2022-08-12 00:00:00+00:00,2024-07-19 00:00:00+00:00,71277.1,1208.73,email,B2B,paid,0.56,932824.61,707.0,861547.51,Medio,Alto,Alto
Configurable eco-centric capability,2022-10-02 00:00:00+00:00,2024-03-09 00:00:00+00:00,15968.2,2592.9,social media,B2C,paid,0.15,430007.3,524.0,414039.1,Medio,Alto,Alto
Customizable directional paradigm,2023-01-20 00:00:00+00:00,2023-08-16 00:00:00+00:00,54468.41,1596.68,social media,B2C,paid,0.7,924154.29,208.0,869685.88,Medio,Alto,Alto
Cross-platform holistic encryption,2023-07-27 00:00:00+00:00,2024-02-15 00:00:00+00:00,29393.78,146.05,podcast,B2B,promotion,0.8,72323.84,203.0,42930.06,Medio,Medio,Medio
Vision-oriented encompassing system engine,2022-11-24 00:00:00+00:00,2024-03-22 00:00:00+00:00,9147.79,359.66,email,B2B,Referral,0.28,42048.95,484.0,32901.159999999996,Bajo,Medio,Medio
Ergonomic next generation throughput,2022-12-16 00:00:00+00:00,2024-03-25 00:00:00+00:00,68801.22,600.88,social media,B2B,organic,0.65,482216.95,465.0,413415.73,Medio,Alto,Medio
Vision-oriented 4thgeneration conglomeration,2023-01-18 00:00:00+00:00,2024-04-22 00:00:00+00:00,1309.17,20770.62,podcast,B2C,organic,0.27,273231.88,460.0,271922.71,Bajo,Alto,
Ameliorated secondary data-warehouse,2023-04-29 00:00:00+00:00,2023-08-24 00:00:00+00:00,27168.6,2494.05,social media,B2B,organic,0.1,704768.1,117.0,677599.5,Medio,Alto,Alto
Programmable executive workforce,2022-11-22 00:00:00+00:00,2024-07-01 00:00:00+00:00,39682.9,193.59,webinar,B2B,paid,0.7,116505.36,587.0,76822.45999999999,Medio,Alto,Medio
Cross-group user-facing application,2023-02-27 00:00:00+00:00,2024-01-06 00:00:00+00:00,89227.7,591.92,podcast,B2C,promotion,0.0,617379.96,313.0,528152.26,Medio,Alto,Medio
Secured systematic architecture,2022-11-26 00:00:00+00:00,2024-04-16 00:00:00+00:00,96917.97,490.17,podcast,B2C,promotion,0.39,571977.28,507.0,475059.31000000006,Medio,Alto,Medio
Seamless bifurcated firmware,2022-09-06 00:00:00+00:00,2023-12-12 00:00:00+00:00,28323.41,3375.08,webinar,B2B,organic,0.9,984261.3,462.0,955937.89,Medio,Alto,
Intuitive directional website,2023-06-15 00:00:00+00:00,2024-01-07 00:00:00+00:00,63656.18,21.75,podcast,B2B,Referral,0.4,77500.94,206.0,13844.760000000002,Medio,Medio,Medio
Mandatory incremental throughput,2023-02-28 00:00:00+00:00,2024-07-01 00:00:00+00:00,69084.1,205.36,podcast,B2B,organic,0.98,210953.33,489.0,141869.22999999998,Medio,Alto,Medio
Organic 24/7 secured line,2023-07-14 00:00:00+00:00,2023-10-06 00:00:00+00:00,65447.41,630.22,email,B2B,paid,0.26,477907.76,84.0,412460.35,Medio,Alto,Medio
User-friendly analyzing moratorium,2023-04-06 00:00:00+00:00,2024-03-16 00:00:00+00:00,20328.53,3137.36,email,B2B,organic,0.97,658107.7,345.0,637779.1699999999,Medio,Alto,
Programmable discrete intranet,2023-03-05 00:00:00+00:00,2024-02-13 00:00:00+00:00,8041.9,6960.62,social media,B2B,paid,0.96,567808.35,345.0,559766.45,Bajo,Alto,
Future-proofed empowering forecast,2022-12-11 00:00:00+00:00,2023-11-05 00:00:00+00:00,19030.69,2380.93,webinar,B2C,promotion,0.75,472138.22,329.0,453107.52999999997,Medio,Alto,Alto
Re-engineered solution-oriented core,2022-10-20 00:00:00+00:00,2024-02-11 00:00:00+00:00,6124.7,6389.06,email,B2B,Referral,0.67,397435.21,479.0,391310.51,Bajo,Alto,
Diverse grid-enabled forecast,2022-11-18 00:00:00+00:00,2023-11-18 00:00:00+00:00,11271.19,4676.49,social media,B2C,Referral,0.81,538367.39,365.0,527096.2000000001,Medio,Alto,
Function-based motivating functionalities,2022-12-11 00:00:00+00:00,2024-03-18 00:00:00+00:00,28203.84,1921.87,email,B2C,organic,0.24,570246.17,463.0,542042.3300000001,Medio,Alto,Alto
User-centric holistic firmware,2022-08-06 00:00:00+00:00,2024-03-12 00:00:00+00:00,99957.15,330.68,webinar,B2C,Referral,0.62,430498.24,584.0,330541.08999999997,Medio,Alto,Medio
Virtual real-time architecture,2023-06-06 00:00:00+00:00,2023-12-25 00:00:00+00:00,27675.42,2330.56,email,B2B,paid,0.1,672667.53,202.0,644992.11,Medio,Alto,Alto
Open-source 6thgeneration secured line,2023-03-07 00:00:00+00:00,2023-09-30 00:00:00+00:00,12480.75,6692.69,podcast,B2B,promotion,0.82,847778.95,207.0,835298.2,Medio,Alto,
Reduced leadingedge architecture,2023-04-23 00:00:00+00:00,2024-06-06 00:00:00+00:00,84119.33,870.76,email,B2C,organic,0.64,816593.62,410.0,732474.29,Medio,Alto,Medio
Fully-configurable 24/7 knowledgebase,2022-09-30 00:00:00+00:00,2024-01-20 00:00:00+00:00,6658.22,4014.5,webinar,B2C,promotion,0.3,273952.77,477.0,267294.55000000005,Bajo,Alto,
Organic 4thgeneration neural-net,2022-10-29 00:00:00+00:00,2024-04-16 00:00:00+00:00,53826.21,1170.38,podcast,B2B,promotion,0.2,683796.77,535.0,629970.56,Medio,Alto,Alto
Centralized 3rdgeneration budgetary management,2023-07-26 00:00:00+00:00,2023-08-11 00:00:00+00:00,85125.0,328.37,webinar,B2C,promotion,0.14,364648.39,16.0,279523.39,Medio,Alto,Medio
Persevering web-enabled workforce,2023-06-23 00:00:00+00:00,2024-01-03 00:00:00+00:00,79220.8,-62.67,social media,B2C,paid,0.3,29575.48,194.0,-49645.32000000001,Medio,Medio,
Multi-channeled high-level interface,2023-04-06 00:00:00+00:00,2023-08-15 00:00:00+00:00,46560.5,950.28,social media,B2C,paid,0.85,489015.27,131.0,442454.77,Medio,Alto,Medio
Re-contextualized high-level project,2023-07-13 00:00:00+00:00,2024-04-22 00:00:00+00:00,56850.62,573.89,social media,B2C,Referral,0.98,383111.17,284.0,326260.55,Medio,Alto,Medio
Right-sized tangible product,2022-11-09 00:00:00+00:00,2024-02-16 00:00:00+00:00,94856.15,199.1,email,B2B,Referral,0.23,283711.16,464.0,188855.00999999998,Medio,Alto,Medio
Diverse leadingedge initiative,2022-10-17 00:00:00+00:00,2023-08-16 00:00:00+00:00,93383.63,703.04,email,B2B,promotion,0.76,749909.68,303.0,656526.05,Medio,Alto,Medio
Intuitive transitional hardware,2023-02-25 00:00:00+00:00,2023-09-15 00:00:00+00:00,26183.57,1541.45,social media,B2B,Referral,0.26,429790.1,202.0,403606.52999999997,Medio,Alto,Alto
Diverse 6thgeneration superstructure,2022-08-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,99128.36,759.83,email,B2B,promotion,0.78,852334.6,518.0,753206.24,Medio,Alto,Medio
Enhanced 4thgeneration hierarchy,2022-08-06 00:00:00+00:00,2024-04-17 00:00:00+00:00,80647.64,981.44,webinar,B2B,Referral,0.81,872159.47,620.0,791511.83,Medio,Alto,Medio
Function-based systematic emulation,2023-03-02 00:00:00+00:00,2024-07-12 00:00:00+00:00,30883.42,2727.87,social media,B2B,paid,0.37,873342.13,498.0,842458.71,Medio,Alto,Alto
Managed asymmetric array,2022-10-14 00:00:00+00:00,2024-07-06 00:00:00+00:00,24998.61,185.05,webinar,B2C,organic,0.39,71257.79,631.0,46259.17999999999,Medio,Medio,Medio
Enterprise-wide mission-critical utilization,2022-09-29 00:00:00+00:00,2023-09-05 00:00:00+00:00,64119.81,230.49,social media,B2B,promotion,0.93,211910.58,341.0,147790.77,Medio,Alto,Medio
Adaptive clear-thinking methodology,2023-05-16 00:00:00+00:00,2024-03-21 00:00:00+00:00,60594.85,1303.38,social media,B2C,paid,0.82,850376.61,310.0,789781.76,Medio,Alto,Alto
Networked zero administration model,2022-11-01 00:00:00+00:00,2023-11-06 00:00:00+00:00,22411.36,356.85,webinar,B2C,organic,0.4,102385.82,370.0,79974.46,Medio,Alto,Medio
Seamless well-modulated open architecture,2022-08-28 00:00:00+00:00,2023-10-09 00:00:00+00:00,47906.32,1719.87,webinar,B2B,promotion,0.45,871834.53,407.0,823928.2100000001,Medio,Alto,Alto
Exclusive radical installation,2022-08-09 00:00:00+00:00,2023-10-10 00:00:00+00:00,28548.76,534.2,email,B2C,promotion,0.6,181056.53,427.0,152507.77,Medio,Alto,Medio
Intuitive bottom-line algorithm,2022-08-27 00:00:00+00:00,2024-05-06 00:00:00+00:00,44251.43,1813.07,email,B2B,Referral,0.16,846562.3,618.0,802310.87,Medio,Alto,Alto
Compatible stable extranet,2022-12-24 00:00:00+00:00,2023-11-13 00:00:00+00:00,32895.11,316.04,podcast,B2C,Referral,0.1,136858.12,324.0,103963.01,Medio,Alto,Medio
Progressive secondary synergy,2022-11-08 00:00:00+00:00,2024-04-06 00:00:00+00:00,55985.9,802.77,social media,B2B,organic,0.59,505421.93,515.0,449436.02999999997,Medio,Alto,Medio
Sharable next generation ability,2022-12-15 00:00:00+00:00,2024-02-19 00:00:00+00:00,23212.27,3476.46,webinar,B2C,Referral,0.49,830178.2,431.0,806965.9299999999,Medio,Alto,
Devolved value-added support,2023-07-02 00:00:00+00:00,2024-02-13 00:00:00+00:00,42051.6,584.14,email,B2B,Referral,0.25,287690.5,226.0,245638.9,Medio,Alto,Medio
Front-line full-range matrices,2022-08-04 00:00:00+00:00,2023-08-10 00:00:00+00:00,79829.52,492.3,email,B2B,paid,0.7,472828.97,371.0,392999.44999999995,Medio,Alto,Medio
Grass-roots foreground firmware,2023-04-26 00:00:00+00:00,2024-04-21 00:00:00+00:00,96169.66,373.62,podcast,B2C,organic,0.45,455474.93,361.0,359305.27,Medio,Alto,Medio
Implemented reciprocal monitoring,2023-02-26 00:00:00+00:00,2024-06-19 00:00:00+00:00,72722.22,751.37,email,B2C,organic,0.1,619138.31,479.0,546416.0900000001,Medio,Alto,Medio
Reverse-engineered foreground approach,2023-02-22 00:00:00+00:00,2024-02-18 00:00:00+00:00,52125.2,-46.75,webinar,B2C,Referral,0.8,27754.76,361.0,-24370.44,Medio,Medio,
Open-source maximized projection,2023-03-23 00:00:00+00:00,2024-03-22 00:00:00+00:00,77340.13,349.19,webinar,B2B,Referral,0.74,347402.29,365.0,270062.16,Medio,Alto,Medio
Intuitive object-oriented moratorium,2022-12-18 00:00:00+00:00,2023-08-28 00:00:00+00:00,97763.51,150.37,webinar,B2C,promotion,0.7,244772.45,253.0,147008.94,Medio,Alto,Medio
Virtual 4thgeneration Graphical User Interface,2023-07-27 00:00:00+00:00,2024-03-27 00:00:00+00:00,15463.29,6129.28,social media,B2B,promotion,0.6,963251.51,244.0,947788.22,Medio,Alto,
Reactive multi-tasking extranet,2022-12-26 00:00:00+00:00,2023-08-25 00:00:00+00:00,51210.38,946.93,email,B2B,Referral,0.83,536138.69,242.0,484928.30999999994,Medio,Alto,Medio
Enhanced heuristic archive,2023-05-05 00:00:00+00:00,2023-09-26 00:00:00+00:00,16066.41,3067.26,email,B2B,paid,0.3,508865.73,144.0,492799.32,Medio,Alto,
Stand-alone bandwidth-monitored capability,2022-10-10 00:00:00+00:00,2024-03-29 00:00:00+00:00,89383.19,827.43,social media,B2C,Referral,0.77,828963.15,536.0,739579.96,Medio,Alto,Medio
Open-source coherent archive,2022-08-18 00:00:00+00:00,2024-06-11 00:00:00+00:00,46558.0,577.96,podcast,B2B,organic,0.4,315646.86,663.0,269088.86,Medio,Alto,Medio
Future-proofed coherent core,2022-09-14 00:00:00+00:00,2024-05-08 00:00:00+00:00,62178.3,410.37,social media,B2C,paid,0.2,317338.48,602.0,255160.18,Medio,Alto,Medio
Decentralized radical emulation,2022-09-18 00:00:00+00:00,2024-04-23 00:00:00+00:00,20201.5,1560.2,webinar,B2B,promotion,0.89,335385.42,583.0,315183.92,Medio,Alto,Alto
Team-oriented content-based data-warehouse,2022-11-12 00:00:00+00:00,2024-01-15 00:00:00+00:00,43643.99,976.95,social media,B2C,organic,0.55,470023.84,429.0,426379.85000000003,Medio,Alto,Medio
Expanded tangible capacity,2023-06-26 00:00:00+00:00,2024-05-07 00:00:00+00:00,20647.17,3580.11,email,B2B,organic,0.78,759838.76,316.0,739191.59,Medio,Alto,
Secured methodical system engine,2023-05-30 00:00:00+00:00,2024-05-08 00:00:00+00:00,29781.93,1806.63,webinar,B2C,paid,0.46,567832.12,344.0,538050.19,Medio,Alto,Alto
Synergistic well-modulated conglomeration,2023-04-23 00:00:00+00:00,2023-11-23 00:00:00+00:00,89003.41,623.05,podcast,B2C,Referral,0.18,643537.76,214.0,554534.35,Medio,Alto,Medio
Programmable dedicated ability,2022-10-18 00:00:00+00:00,2024-03-26 00:00:00+00:00,34838.17,722.01,podcast,B2B,promotion,0.22,286374.76,525.0,251536.59000000003,Medio,Alto,Medio
Public-key dynamic synergy,2023-03-03 00:00:00+00:00,2023-11-16 00:00:00+00:00,8209.8,8739.52,webinar,B2B,paid,0.78,725706.76,258.0,717496.96,Bajo,Alto,
Synergistic actuating benchmark,2022-12-14 00:00:00+00:00,2023-08-20 00:00:00+00:00,13024.35,6674.76,email,B2C,organic,0.99,882368.6,249.0,869344.25,Medio,Alto,
Optional client-driven approach,2022-12-30 00:00:00+00:00,2024-07-02 00:00:00+00:00,9180.95,914.08,webinar,B2C,organic,0.97,93102.44,550.0,83921.49,Bajo,Medio,Medio
Cloned exuding matrices,2023-06-03 00:00:00+00:00,2024-07-16 00:00:00+00:00,46215.77,606.44,email,B2C,paid,0.63,326486.31,409.0,280270.54,Medio,Alto,Medio
Expanded zero tolerance adapter,2022-09-19 00:00:00+00:00,2024-05-07 00:00:00+00:00,80474.62,389.62,email,B2C,organic,0.7,394021.52,596.0,313546.9,Medio,Alto,Medio
Persistent incremental installation,2022-12-22 00:00:00+00:00,2024-01-27 00:00:00+00:00,12789.78,3936.4,email,B2C,paid,0.4,516246.2,401.0,503456.42,Medio,Alto,
Integrated full-range encoding,2023-06-18 00:00:00+00:00,2024-03-01 00:00:00+00:00,42818.39,1717.64,email,B2B,promotion,0.14,778282.87,257.0,735464.48,Medio,Alto,Alto
Total system-worthy framework,2023-01-16 00:00:00+00:00,2023-08-10 00:00:00+00:00,77090.58,961.12,email,B2C,organic,0.1,818026.22,206.0,740935.64,Medio,Alto,Medio
Persistent disintermediate artificial intelligence,2023-01-23 00:00:00+00:00,2023-08-21 00:00:00+00:00,10659.15,4652.63,email,B2B,promotion,0.84,506589.58,210.0,495930.43,Medio,Alto,
Self-enabling explicit interface,2023-01-23 00:00:00+00:00,2024-06-19 00:00:00+00:00,71211.28,782.2,email,B2B,Referral,0.94,628222.4,513.0,557011.12,Medio,Alto,Medio
User-centric responsive software,2022-09-24 00:00:00+00:00,2023-08-04 00:00:00+00:00,55105.95,1679.47,email,B2B,paid,0.65,980593.34,314.0,925487.39,Medio,Alto,Alto
Enterprise-wide bottom-line forecast,2023-01-27 00:00:00+00:00,2024-01-26 00:00:00+00:00,22701.3,295.31,email,B2C,promotion,0.86,89740.19,364.0,67038.89,Medio,Medio,Medio
Upgradable transitional productivity,2022-12-25 00:00:00+00:00,2024-05-12 00:00:00+00:00,28460.11,1986.95,social media,B2B,paid,0.37,593949.35,504.0,565489.24,Medio,Alto,Alto
Assimilated asynchronous project,2023-03-30 00:00:00+00:00,2024-06-25 00:00:00+00:00,81474.69,43.05,email,B2B,paid,0.98,116549.43,453.0,35074.73999999999,Medio,Alto,Medio
Reverse-engineered 4thgeneration alliance,2022-10-10 00:00:00+00:00,2023-12-12 00:00:00+00:00,99406.41,388.2,webinar,B2B,promotion,0.3,485297.93,428.0,385891.52,Medio,Alto,Medio
Networked bi-directional help-desk,2023-03-23 00:00:00+00:00,2023-09-24 00:00:00+00:00,89764.52,285.81,podcast,B2C,organic,0.8,346320.53,185.0,256556.01,Medio,Alto,Medio
Diverse exuding superstructure,2022-09-07 00:00:00+00:00,2023-11-04 00:00:00+00:00,11769.71,1218.15,webinar,B2B,paid,0.24,155142.36,423.0,143372.65,Medio,Alto,Alto
