campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,beneficio_neto,budget_cat,revenue_cat,roi_cat
Public-key multi-tasking throughput,2023-04-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,808230.0,-0.12204016183512122,email,B2B,organic,0.4,709593.48,328.0,-98636.52000000002,Muy Alto,Muy Alto,Pérdida
De-engineered analyzing task-force,2023-02-15 00:00:00+00:00,2024-04-22 00:00:00+00:00,17712980.0,-0.9708344332800014,email,B2C,promotion,0.66,516609.1,432.0,-17196370.9,Muy Alto,Muy Alto,Pérdida
Balanced solution-oriented Local Area Network,2022-12-20 00:00:00+00:00,2023-10-11 00:00:00+00:00,8464310.0,-0.9458635825011135,podcast,B2B,paid,0.28,458227.42,295.0,-8006082.58,Muy Alto,Muy Alto,Pérdida
Distributed real-time methodology,2022-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,14589750.0,-0.9938341143611097,webinar,B2B,organic,0.19,89958.73,366.0,-14499791.27,Muy Alto,Medio,Pérdida
Front-line executive infrastructure,2023-07-07 00:00:00+00:00,2024-05-15 00:00:00+00:00,3929190.0,-0.9879081057418959,social media,B2B,promotion,0.81,47511.35,313.0,-3881678.65,Muy Alto,Bajo,Pérdida
Upgradable transitional data-warehouse,2023-06-29 00:00:00+00:00,2023-12-13 00:00:00+00:00,75569280.0,-0.9926120493671503,social media,B2C,Referral,0.67,558302.11,167.0,-75010977.89,Muy Alto,Muy Alto,Pérdida
Innovative context-sensitive framework,2023-03-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,28964450.0,-0.9940312144715332,email,B2C,Referral,0.17,172882.59,359.0,-28791567.41,Muy Alto,Alto,Pérdida
User-friendly client-driven service-desk,2023-01-06 00:00:00+00:00,2023-12-11 00:00:00+00:00,36800580.0,-0.9943957008286283,webinar,B2C,promotion,0.52,206241.46,339.0,-36594338.54,Muy Alto,Muy Alto,Pérdida
Proactive neutral methodology,2022-09-06 00:00:00+00:00,2024-01-11 00:00:00+00:00,40493880.0,-0.9818551405792678,webinar,B2C,organic,0.47,734755.76,492.0,-39759124.24,Muy Alto,Muy Alto,Pérdida
Intuitive responsive support,2022-11-25 00:00:00+00:00,2024-04-04 00:00:00+00:00,1816220.0,-0.6898611952296527,social media,B2C,Referral,0.85,563280.3,496.0,-1252939.7,Muy Alto,Muy Alto,Pérdida
Multi-lateral dedicated workforce,2023-06-15 00:00:00+00:00,2024-06-15 00:00:00+00:00,94084210.0,-0.9956791605095053,podcast,B2B,Referral,0.23,406522.77,366.0,-93677687.23,Muy Alto,Muy Alto,Pérdida
Cross-platform demand-driven encoding,2023-07-21 00:00:00+00:00,2023-11-04 00:00:00+00:00,64041370.0,-0.9972757848559455,social media,B2B,promotion,0.55,174462.47,106.0,-63866907.53,Muy Alto,Alto,Pérdida
Networked even-keeled toolset,2023-03-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,49375810.0,-0.9862196306247938,social media,B2B,organic,0.95,680416.9,173.0,-48695393.1,Muy Alto,Muy Alto,Pérdida
