campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,beneficio_neto,budget_cat,revenue_cat,roi_cat
Public-key multi-tasking throughput,2023-04-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,80823.0,0.35,email,B2B,organic,0.4,709593.48,328.0,628770.48,Medio,Muy Alto,Bajo
De-engineered analyzing task-force,2023-02-15 00:00:00+00:00,2024-04-22 00:00:00+00:00,1771298.0,0.74,email,B2C,promotion,0.66,516609.1,432.0,-1254688.9,Muy Alto,Muy Alto,Bajo
Balanced solution-oriented Local Area Network,2022-12-20 00:00:00+00:00,2023-10-11 00:00:00+00:00,846431.0,0.37,podcast,B2B,paid,0.28,458227.42,295.0,-388203.58,Muy Alto,Muy Alto,Bajo
Distributed real-time methodology,2022-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,1458975.0,0.47,webinar,B2B,organic,0.19,89958.73,366.0,-1369016.27,Muy Alto,Medio,Bajo
Front-line executive infrastructure,2023-07-07 00:00:00+00:00,2024-05-15 00:00:00+00:00,392919.0,0.3,social media,B2B,promotion,0.81,47511.35,313.0,-345407.65,Muy Alto,Bajo,Bajo
Upgradable transitional data-warehouse,2023-06-29 00:00:00+00:00,2023-12-13 00:00:00+00:00,7556928.0,0.59,social media,B2C,Referral,0.67,558302.11,167.0,-6998625.89,Muy Alto,Muy Alto,Bajo
Innovative context-sensitive framework,2023-03-01 00:00:00+00:00,2024-02-23 00:00:00+00:00,2896445.0,0.59,email,B2C,Referral,0.17,172882.59,359.0,-2723562.41,Muy Alto,Alto,Bajo
User-friendly client-driven service-desk,2023-01-06 00:00:00+00:00,2023-12-11 00:00:00+00:00,3680058.0,0.4,webinar,B2C,promotion,0.52,206241.46,339.0,-3473816.54,Muy Alto,Muy Alto,Bajo
Proactive neutral methodology,2022-09-06 00:00:00+00:00,2024-01-11 00:00:00+00:00,4049388.0,0.16,webinar,B2C,organic,0.47,734755.76,492.0,-3314632.24,Muy Alto,Muy Alto,Bajo
Intuitive responsive support,2022-11-25 00:00:00+00:00,2024-04-04 00:00:00+00:00,181622.0,0.81,social media,B2C,Referral,0.85,563280.3,496.0,381658.30000000005,Alto,Muy Alto,Bajo
Multi-lateral dedicated workforce,2023-06-15 00:00:00+00:00,2024-06-15 00:00:00+00:00,9408421.0,0.58,podcast,B2B,Referral,0.23,406522.77,366.0,-9001898.23,Muy Alto,Muy Alto,Bajo
Cross-platform demand-driven encoding,2023-07-21 00:00:00+00:00,2023-11-04 00:00:00+00:00,6404137.0,0.16,social media,B2B,promotion,0.55,174462.47,106.0,-6229674.53,Muy Alto,Alto,Bajo
Networked even-keeled toolset,2023-03-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,4937581.0,0.58,social media,B2B,organic,0.95,680416.9,173.0,-4257164.1,Muy Alto,Muy Alto,Bajo
Optional actuating standardization,2023-07-04 00:00:00+00:00,2024-05-06 00:00:00+00:00,1481062.0,0.94,webinar,B2B,Referral,0.45,477528.27,307.0,-1003533.73,Muy Alto,Muy Alto,Bajo
Innovative web-enabled function,2022-11-05 00:00:00+00:00,2023-09-05 00:00:00+00:00,368483.0,0.92,webinar,B2C,Referral,0.1,4190.95,304.0,-364292.05,Muy Alto,Muy Bajo,Bajo
Configurable methodical service-desk,2023-03-23 00:00:00+00:00,2023-11-07 00:00:00+00:00,2151043.0,0.23,email,B2B,Referral,0.92,23176.85,229.0,-2127866.15,Muy Alto,Bajo,Bajo
Cross-group empowering attitude,2022-09-14 00:00:00+00:00,2024-01-25 00:00:00+00:00,9952093.0,0.52,podcast,B2C,paid,0.65,386133.95,498.0,-9565959.05,Muy Alto,Muy Alto,Bajo
Intuitive didactic installation,2023-06-24 00:00:00+00:00,2024-03-27 00:00:00+00:00,1921346.0,0.17,email,B2B,organic,0.96,925274.53,277.0,-996071.47,Muy Alto,Muy Alto,Bajo
Fundamental dedicated encryption,2023-07-16 00:00:00+00:00,2023-08-17 00:00:00+00:00,1757323.0,0.38,email,B2B,promotion,0.79,460559.74,32.0,-1296763.26,Muy Alto,Muy Alto,Bajo
De-engineered 4thgeneration moratorium,2022-09-26 00:00:00+00:00,2024-05-30 00:00:00+00:00,253964.0,0.45,email,B2C,promotion,0.1,292885.55,612.0,38921.54999999999,Muy Alto,Muy Alto,Bajo
Managed upward-trending website,2023-02-07 00:00:00+00:00,2024-02-07 00:00:00+00:00,3464422.0,0.2,podcast,B2B,Referral,0.72,478980.33,365.0,-2985441.67,Muy Alto,Muy Alto,Bajo
Self-enabling human-resource infrastructure,2023-04-20 00:00:00+00:00,2024-01-09 00:00:00+00:00,6027459.0,0.69,webinar,B2B,organic,0.91,974038.96,264.0,-5053420.04,Muy Alto,Muy Alto,Bajo
Cross-platform 24/7 archive,2023-01-16 00:00:00+00:00,2024-07-15 00:00:00+00:00,7968062.0,0.9,email,B2B,promotion,0.96,435524.36,546.0,-7532537.64,Muy Alto,Muy Alto,Bajo
Future-proofed local forecast,2023-08-01 00:00:00+00:00,2023-08-11 00:00:00+00:00,4677563.0,0.67,webinar,B2B,Referral,0.75,814672.28,10.0,-3862890.7199999997,Muy Alto,Muy Alto,Bajo
Horizontal hybrid instruction set,2022-08-26 00:00:00+00:00,2024-07-24 00:00:00+00:00,483665.0,0.21,social media,B2B,promotion,0.87,41004.95,698.0,-442660.05,Muy Alto,Bajo,Bajo
Inverse contextually-based neural-net,2023-06-26 00:00:00+00:00,2024-01-28 00:00:00+00:00,849734.0,0.16,podcast,B2C,organic,0.16,390736.64,216.0,-458997.36,Muy Alto,Muy Alto,Bajo
Polarized hybrid system engine,2023-02-15 00:00:00+00:00,2023-11-17 00:00:00+00:00,373447.0,0.98,email,B2C,organic,0.43,463541.48,275.0,90094.47999999998,Muy Alto,Muy Alto,Bajo
Managed analyzing service-desk,2023-07-05 00:00:00+00:00,2023-10-09 00:00:00+00:00,1439198.0,0.23,email,B2C,promotion,0.83,456537.4,96.0,-982660.6,Muy Alto,Muy Alto,Bajo
Seamless clear-thinking product,2022-11-18 00:00:00+00:00,2023-10-05 00:00:00+00:00,9983863.0,0.63,email,B2B,organic,0.18,14073.59,321.0,-9969789.41,Muy Alto,Bajo,Bajo
Networked local adapter,2022-10-17 00:00:00+00:00,2024-07-03 00:00:00+00:00,2907612.0,0.61,social media,B2B,Referral,0.1,948309.55,625.0,-1959302.45,Muy Alto,Muy Alto,Bajo
Open-architected neutral open system,2023-04-19 00:00:00+00:00,2023-09-20 00:00:00+00:00,8796328.0,0.69,podcast,B2B,promotion,0.57,993906.77,154.0,-7802421.23,Muy Alto,Muy Alto,Bajo
Secured optimal website,2023-05-25 00:00:00+00:00,2023-12-12 00:00:00+00:00,539358.0,0.44,social media,B2C,paid,0.4,958654.12,201.0,419296.12,Muy Alto,Muy Alto,Bajo
Seamless zero-defect portal,2022-08-12 00:00:00+00:00,2024-07-19 00:00:00+00:00,712771.0,0.21,email,B2B,paid,0.56,932824.61,707.0,220053.61,Muy Alto,Muy Alto,Bajo
Configurable eco-centric capability,2022-10-02 00:00:00+00:00,2024-03-09 00:00:00+00:00,159682.0,0.53,social media,B2C,paid,0.15,430007.3,524.0,270325.3,Alto,Muy Alto,Bajo
